"Lead Agency","Scientific Name","Common Name","Current
ESA Listing Status  ","Initial Listing Date","Group"
"FWS","Vulpes vulpes necator","Fox, Sierra Nevada red ()","Endangered","2021/09/02","<div>Mammals</div>"
"FWS","Cryptobranchus alleganiensis alleganiensis","Hellbender, Eastern (Missouri DPS)","Endangered","2021/04/07","<div>Amphibians</div>"
"FWS","Necturus lewisi","Waterdog, Neuse River (Wherever found)","Threatened","2021/07/09","<div>Amphibians</div>"
"FWS","Noturus furiosus","Madtom, Carolina (Wherever found)","Endangered","2021/07/09","<div>Fishes</div>"
"FWS","Fusconaia masoni","Pigtoe, Atlantic (Wherever found)","Threatened","2021/12/16","<div>Clams</div>"
"FWS","Bombus franklini","bumble bee, Franklin's (Wherever found)","Endangered","2021/09/23","<div>Insects</div>"
"FWS","Cambarus cracens","crayfish, Slenderclaw (Wherever found)","Endangered","2021/10/15","<div>Crustaceans</div>"
"FWS","Pectis imberbis","chinchweed, beardless (Wherever found)","Endangered","2021/07/15","<div>Flowering Plants</div>"
"FWS","Eryngium sparganophyllum","eryngo, Arizona ()","Endangered","2021/03/04","<div>Flowering Plants</div>"
"FWS","Graptopetalum bartramii","stonecrop, Bartram's (Wherever found)","Threatened","2021/09/29","<div>Flowering Plants</div>"
