"Lead Agency","Scientific Name","Common Name","Current
ESA Listing Status  ","Initial Listing Date","Group"
"FWS","Thomomys mazama glacialis","Pocket gopher, Roy Prairie","Threatened","2014/05/09","<div>Mammals</div>"
"FWS","Thomomys mazama pugetensis","Pocket gopher, Olympia","Threatened","2014/05/09","<div>Mammals</div>"
"FWS","Thomomys mazama tumuli","Pocket gopher, Tenino","Threatened","2014/05/09","<div>Mammals</div>"
"FWS","Thomomys mazama yelmensis","Pocket gopher, Yelm","Threatened","2014/05/09","<div>Mammals</div>"
"FWS","Zapus hudsonius luteus","Mouse, New Mexico meadow jumping ()","Endangered","2014/07/10","<div>Mammals</div>"
"FWS","Centrocercus minimus","sage-grouse, Gunnison (entire)","Threatened","2014/12/22","<div>Birds</div>"
"FWS","Coccyzus americanus","Cuckoo, yellow-billed (Western U.S. DPS)","Threatened","2014/11/03","<div>Birds</div>"
"FWS","Tympanuchus pallidicinctus","Prairie-chicken, lesser ()","Threatened","2014/05/12","<div>Birds</div>"
"FWS","Thamnophis eques megalops","gartersnake, northern Mexican","Threatened","2014/07/08","<div>Reptiles</div>"
"FWS","Thamnophis rufipunctatus","gartersnake, narrow-headed ()","Threatened","2014/07/08","<div>Reptiles</div>"
"FWS","Anaxyrus canorus","toad, Yosemite","Threatened","2014/06/30","<div>Amphibians</div>"
"FWS","Eurycea chisholmensis","Salamander, Salado ()","Threatened","2014/03/26","<div>Amphibians</div>"
"FWS","Eurycea naufragia","Salamander, Georgetown ()","Threatened","2014/03/26","<div>Amphibians</div>"
"FWS","Rana muscosa","Frog, mountain yellow-legged (Northern California DPS)","Endangered","2014/06/30","<div>Amphibians</div>"
"FWS","Rana muscosa","Frog, mountain yellow-legged (Sierra Nevada)","Resolved Taxon","2014/06/30","<div>Amphibians</div>"
"FWS","Rana pretiosa","Frog, Oregon spotted","Threatened","2014/09/29","<div>Amphibians</div>"
"FWS","Rana sierrae","Frog, Sierra Nevada Yellow-legged","Endangered","2014/06/30","<div>Amphibians</div>"
"FWS","Catostomus discobolus yarrowi","Sucker, Zuni bluehead","Endangered","2014/08/25","<div>Fishes</div>"
"FWS","Notropis buccula","Shiner, smalleye","Endangered","2014/08/04","<div>Fishes</div>"
"FWS","Notropis oxyrhynchus","Shiner, sharpnose","Endangered","2014/08/04","<div>Fishes</div>"
"FWS","Anaea troglodyta floridalis","Butterfly, Florida leafwing ()","Endangered","2014/09/11","<div>Insects</div>"
"FWS","Hesperia dacotae","Skipper, Dakota","Threatened","2014/11/24","<div>Insects</div>"
"FWS","Oarisma poweshiek","skipperling, Poweshiek (Entire)","Endangered","2014/11/24","<div>Insects</div>"
"FWS","Strymon acis bartrami","Butterfly, Bartram's hairstreak ()","Endangered","2014/09/11","<div>Insects</div>"
"FWS","Agave eggersiana","No common name","Endangered","2014/10/09","<div>Flowering Plants</div>"
"FWS","Arabis georgiana","Rockcress, Georgia ()","Threatened","2014/10/14","<div>Flowering Plants</div>"
"FWS","Brickellia mosieri","Brickell-bush, Florida","Endangered","2014/10/06","<div>Flowering Plants</div>"
"FWS","Diplacus vandenbergensis","Monkeyflower, Vandenberg","Endangered","2014/09/25","<div>Flowering Plants</div>"
"FWS","Gonocalyx concolor","No common name","Endangered","2014/10/09","<div>Flowering Plants</div>"
"FWS","Helianthus verticillatus","Sunflower, whorled ()","Endangered","2014/08/01","<div>Flowering Plants</div>"
"FWS","Ivesia webberi","Ivesia, Webber","Threatened","2014/07/03","<div>Flowering Plants</div>"
"FWS","Leavenworthia crassa","Gladecress, Fleshy-fruit ()","Endangered","2014/08/01","<div>Flowering Plants</div>"
"FWS","Leavenworthia exigua laciniata","Glade cress, Kentucky ()","Threatened","2014/06/05","<div>Flowering Plants</div>"
"FWS","Linum carteri carteri","Flax, Carter's small-flowered","Endangered","2014/10/06","<div>Flowering Plants</div>"
"FWS","Physaria globosa","Bladderpod, Short's ()","Endangered","2014/08/01","<div>Flowering Plants</div>"
"FWS","Varronia rupicola","No common name","Threatened","2014/10/09","<div>Flowering Plants</div>"
