"Lead Agency","Scientific Name","Common Name","Current
ESA Listing Status  ","Initial Listing Date","Group"
"FWS","Emballonura semicaudata rotensis","Bat, Pacific sheath-tailed","Endangered","2015/11/02","<div>Mammals</div>"
"FWS","Myotis septentrionalis","Bat, Northern long-eared ()","Threatened","2015/05/04","<div>Mammals</div>"
"FWS","Calidris canutus rufa","Knot, red ()","Threatened","2015/01/12","<div>Birds</div>"
"FWS","Emoia slevini","skink, Slevin's","Endangered","2015/11/02","<div>Reptiles</div>"
"FWS","Pituophis melanoleucus lodingi","Snake, black pine ()","Threatened","2015/11/05","<div>Reptiles</div>"
"FWS","Partula gibba","Snail, Humped tree","Endangered","2015/11/02","<div>Snails</div>"
"FWS","Partula langfordi","Snail, Langford's tree","Endangered","2015/11/02","<div>Snails</div>"
"FWS","Partula radiolata","Snail, Guam tree","Endangered","2015/11/02","<div>Snails</div>"
"FWS","Samoana fragilis","Snail, fragile tree","Endangered","2015/11/02","<div>Snails</div>"
"FWS","Hypolimnas octocula mariannensis","Butterfly, Mariana eight-spot","Endangered","2015/11/02","<div>Insects</div>"
"FWS","Ischnura luta","damselfly, Rota blue ()","Endangered","2015/11/02","<div>Insects</div>"
"FWS","Vagrans egistina","Butterfly, Mariana wandering","Endangered","2015/11/02","<div>Insects</div>"
"FWS","Bulbophyllum guamense","halumtano, Cebello ()","Threatened","2015/11/02","<div>Flowering Plants</div>"
"FWS","Dendrobium guamense","No common name ()","Threatened","2015/11/02","<div>Flowering Plants</div>"
"FWS","Eugenia bryanii","No common name","Endangered","2015/11/02","<div>Flowering Plants</div>"
"FWS","Hedyotis megalantha","Paudedo","Endangered","2015/11/02","<div>Flowering Plants</div>"
"FWS","Heritiera longipetiolata","Ufa-halomtano","Endangered","2015/11/02","<div>Flowering Plants</div>"
"FWS","Maesa walkeri","No common name ()","Threatened","2015/11/02","<div>Flowering Plants</div>"
"FWS","Nervilia jacksoniae","No common name ()","Threatened","2015/11/02","<div>Flowering Plants</div>"
"FWS","Phyllanthus saffordii","No common name","Endangered","2015/11/02","<div>Flowering Plants</div>"
"FWS","Psychotria malaspinae","Aplokating-palaoan","Endangered","2015/11/02","<div>Flowering Plants</div>"
"FWS","Solanum guamense","halomtano, Berenghenas","Endangered","2015/11/02","<div>Flowering Plants</div>"
"FWS","Tabernaemontana rotensis","No common name","Threatened","2015/11/02","<div>Flowering Plants</div>"
"FWS","Tinospora homosepala","No Common Name","Endangered","2015/11/02","<div>Flowering Plants</div>"
"FWS","Tuberolabium guamense","No common name ()","Threatened","2015/11/02","<div>Flowering Plants</div>"
"FWS","Cycas micronesica","Fadang ()","Threatened","2015/11/02","<div>Conifers and Cycads</div>"
"FWS","Trichomanes punctatum ssp. floridanum","fern, Florida bristle","Endangered","2015/11/05","<div>Ferns and Allies</div>"
