"Lead Agency","Scientific Name","Common Name","Current
ESA Listing Status  ","Initial Listing Date","Group"
"FWS","Eriodictyon altissimum","Mountain balm, Indian Knob","Endangered","1994/12/15","<div>Flowering Plants</div>"
"FWS","Eriogonum ovalifolium var. vineum","Buckwheat, cushenbury","Endangered","1994/08/24","<div>Flowering Plants</div>"
"FWS","Erysimum teretifolium","Wallflower, Ben Lomond","Endangered","1994/02/04","<div>Flowering Plants</div>"
"FWS","Eugenia haematocarpa","Uvillo","Endangered","1994/11/25","<div>Flowering Plants</div>"
"FWS","Eugenia koolauensis","Nioi","Endangered","1994/03/28","<div>Flowering Plants</div>"
"FWS","Eugenia woodburyana","No common name","Endangered","1994/09/09","<div>Flowering Plants</div>"
"FWS","Euphorbia deppeana","`Akoko","Endangered","1994/03/28","<div>Flowering Plants</div>"
"FWS","Exocarpos luteolus","Heau","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Flueggea neowawraea","Mehamehame","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Gouania vitifolia","No common name","Endangered","1994/06/27","<div>Flowering Plants</div>"
"FWS","Hesperomannia arborescens","No common name","Endangered","1994/03/28","<div>Flowering Plants</div>"
"FWS","Hibiscus brackenridgei","Ma`o hau hele, (=native yellow hibiscus)","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Hibiscus clayi","Hibiscus, Clay's","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Howellia aquatilis","Howellia, water","Threatened","1994/07/14","<div>Flowering Plants</div>"
"FWS","Ipomopsis sancti-spiritus","Ipomopsis, Holy Ghost","Endangered","1994/03/23","<div>Flowering Plants</div>"
"FWS","Ischaemum byrone","Ischaemum, Hilo","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Isodendrion pyrifolium","Kula wahine noho","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Kadua cookiana","'Awiwi","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Lesquerella kingii ssp. bernardina","Bladderpod, San Bernardino Mountains","Endangered","1994/08/24","<div>Flowering Plants</div>"
"FWS","Lilium occidentale","Lily, Western","Endangered","1994/08/17","<div>Flowering Plants</div>"
"FWS","Lipochaeta fauriei","Nehe","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Lipochaeta micrantha","Nehe","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Lipochaeta waimeaensis","Nehe","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Lobelia oahuensis","No common name","Endangered","1994/03/28","<div>Flowering Plants</div>"
"FWS","Lysimachia filifolia","No common name","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Melicope adscendens","Alani","Endangered","1994/12/05","<div>Flowering Plants</div>"
"FWS","Melicope balloui","Alani","Endangered","1994/12/05","<div>Flowering Plants</div>"
"FWS","Melicope haupuensis","Alani","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Melicope knudsenii","Alani","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Melicope lydgatei","Alani","Endangered","1994/03/28","<div>Flowering Plants</div>"
"FWS","Melicope ovalis","Alani","Endangered","1994/12/05","<div>Flowering Plants</div>"
"FWS","Melicope pallida","Alani","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Melicope quadrangularis","Alani","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Mitracarpus maxwelliae","No common name","Endangered","1994/09/09","<div>Flowering Plants</div>"
